class,text
Positive,This top is such a great investment piece. looks classy and is comfortable all at the same time. it is pricey but you will not regret buying this. goes great with light trouser denim or i have the green pilcro khakis. it will he something you will keep in your closet for a long time.
Positive,"This shirt fits very true to size, with very soft and comfortable material that hangs just right. wears well and is versatile for many occasions. please come out with more colors so i can purchase them as well!"
Positive,"I bought this in both the taupe and ivory. the beading on the neck line, the tie at the neck and the pleats make this a fun shirt. i bought a size 2 which is normally what i wear at retailer, so i would say it is true to size. i really like the length of the top. it hits mid-hip on me. it is a tad shorter on the sides than i would like but it is still long enough to cover my waistline. i also think the arms are too long so there is kind of a balloon look at my wrists because of it. i bought it to"
Negative,"I was really looking forward to receiving this blouse in the mail. the color was beautiful in person and the photo does not show the nice beading around the neck. that being said, i was so disappointed in the fit. i ordered a size 00 and the arm length was way too long yet the body of the shirt was way too cropped. cropped enough where you could see skin on the sides. made no sense! hoping to order a few more sizes to see if i can find the right fit. order up for length, down for arm length ..."
Positive,"A little shorter than expected. very billowy, so watch out for wind!
it fits well on the arms and shoulders. not too see through"
Positive,Great that it's hand washable because i hate the smell of dry cleaned garmets.
Negative,"After the reviews about sizing, i ordered the size 16 (am normally size large). interestingly, the tag on the blouse says it's a 14. with all that said, the blouse is cute enough and sizing up gave me enough length (in spite of the higher sides) that i'm considering keeping it. although it's a bit big, it flows nicely and isn't oversized in that wide, crazy way. the sleeves are a bit too big but they're cuffed with a button and can be rolled. the fabric is somewhat crinkled in texture. i got the"
Positive,"I love the style and quality of this blouse. it can easily be dressed up or down. the blouse is completely see through and delicate. still, it is so romantic, feminine, distinctive and timeless."
Negative,I loved this blouse when i got it and wore it before washing. it fit really well and was flattering. the only time i laundered it i hand- washed it in cold water and hung it to dry. the blouse shrunk at least a full size and in awkward places. the sleeves are now tight and way too short. the overall length shortened by at least 2 inches. the top is so tight in the bust now that the buttons popped open. i'm very disappointed and surprised.i will be returning it as it is unwearable as is.
Negative,"This bunches up too much, and the fabric is even more see through than i expected (so even with a tank top under it, it's not a good look for work). even unbuttoned at the top, i could barely get this over my head!  this one is going back."
Positive,"Bought this blouse to wear with high wasted jeans and pants. it lays beautifully and can be dressed up or down. it's somewhat sheer, but i don't plan on wearing a cami under it. perfect for work or going out."
Positive,"I definitely recommend this shirt. it's lights and airy, something you can wear everyday."
Positive,"Love the way this top layers under my jackets and sweaters! so romantic and pretty. i am not experiencing the over pouf at the waist that a previous reviewer complained about. the fabric is slightly itchy and the top shipped to my house has misshapen shoulder bumps from the store hanger. all the beautiful styling pics done by retailer employees on ig is what made me want this blouse. whatever is going on with the model shot really really really does not represent how cute this top looks. in fact,"
Negative,Beautiful victorian look blouse. runs large and overly blousy on me.
Positive,This top is really cute and true to size. i like the color and the nice details.
Positive,"I'm 5' 0"" and 120 pounds. this top is beautiful. it's high neck is so flattering. a nice switch it up for us gals that are older and like neck coverage sometimes. i purchased a small and it is a little longer, but since it has elastic at the waist it's no problem. i will tuck it in my jeans and skirts. the arm holes are perfect. the as far as it being a lot of blouse, i didn't find that at all. but i am busty, 34c or d depending on brand of bra. the color is ivory. omits completely sheer, no lin"
Positive,"Tried this blouse on in the store and fell in love with this top. i went down one size since i am a true petite. they were sold out of the petite small, but the regular x-small fit perfect. it is a little short so it's perfect for shorter people,"
Negative,"This top is gorgeous in both detail in color. it fit great and true to size, but then i hand washed it as instructed on the label and it shrank substantially to the point that it's now too short and needs to be returned."
Positive,"I love this blouse. the lace panels are slightly sheer, but nothing inappropriate. the solid fabric is a lovely sort of heavy crepe. stunning bright cobalt blue color. i'm an xl in retailer and this top fit well in xl; ever so slightly snug at one part on the sleeve but nothing noticeable or uncomfortable. be aware, this did bleed blue when it was soaking and it did drip blue water while it was air drying on the hanger. while this blouse is still wet i would stretch out the sides and sleeves to ge"
Positive,"This top is cute and could be worn to work or casually. being tall, i love how long this shirt is! definitely recommend!"
Positive,I purchased the gorgeous green color. i love that i can wear this with leggings and sandals in warm weather or boots and scarves when it's cooler outside. the best thing is that it has pockets to slip my phone in! the color is very flattering and i get lots of compliments when i wear it!
Positive,I bought the blue pattern and really have found this print to be very fun and flattering and the tunic style great for work and play. highly recommend!!!
Negative,"Like a baby doll top, with almost an empire waist going on.  feels comfortable and super flowy. i got a size m and i swing between m and l in most brands. the button stitching are a bit loose and will fray after some wears, i can tell. but i'm borderline on taking it back still because there are hidden side pockets! crazy--like it was a fluke or something. would fit a piece of paper or tissues. not keys or phones though."
Positive,"This shirt is easy, breezy, comfy, and stylish - everything i want as a busy mom. all the patterns are beautiful it i went with the blue motif as well as the floral print because they felt fun and easy to wear with jeans or white pants. this definitely fit a full size large for me. i tried my usual s plus xs thinking the shoulders might be too tight, but the xs was perfect. happy to have this beauty in the rotation!"
Negative,I've been eyeing this top up in the floral pattern for a while and finally ordered it when i had 15% off. i really don't think it's worth the price and it's not very flattering. i think it would look better on someone less busty - it seemed to accent my bust. it's definitely not my favorite piece and unfortunately i will be returning.
Positive,"Super cute and flattering shirt, the long tunic-style makes it so you can dress it up or down, so cute and comfy!"
Positive,This shirt is just so easy breezy! i got the blue motif and love the pattern. the top is loose but it's supposed to fit that way. i have a feeling this will be my go to for the spring summer! i'm about 136lbs and ordered a small.
Positive,"I'm small (4'11, 98 pounds and 34a) so the regular xs looks like a baby doll dress on me.  i just wear the tunic with a tank top underneath (or i can wear the tunic by itself) and leggings plus a pair of boots.  the top part is slightly baggy so if you want tight fitting, is size down to xxs.  i got the yellow flower and white + grey one and plan to get the navy one soon.  the quality is good and you can machine wash it with cold water.  i plan to use a tide sweater garment bag to wash it (i put"
Negative,"I had reservations about this top based on other reviews, but it looked cute on the model so i took my chances. i have an athletic build--not model-thin, but not dumpy either--and this top made me look very frumpy and matronly. the sleeves were especially unflattering. i purchased it in an ps and might have done better with a pxs."
Positive,"I ordered the black and it was a soft black, which i loved. i felt like the shirt was a little boxy (i was hoping the top would have been a bit more fitted (the arm holes are loose) and the bottom a little longer, but i like it enough that i am keeping it. works well to wear to work."
Positive,"I initially purchased this shirt in the grey motif color, size l (my usual size, i'm 5'8"" size 14). unfortunately i found the shirt very roomy, but loved the pattern and style. so i ordered a medium and much to my surprise it fit much better. i'm very happy with my purchase."
Positive,"I am a solid size 6 in most brands, top and bottom, 5'3"" tall, 125#. i have long legs, short torso, and fairly broad shoulders - i almost never wear petite sizes.however, this top in the regular small size could be a maternity dress on me! i am literally swimming in it, and it is quite long. however, i can still make it work, with a cami underneath and leggings or skinny jeans... i like it, did not return, and will buy another color, but will go with petite x-small in the future."
Positive,"This top is such a great color and style. i did have to go a size down, as i typically wear a medium. the style is very forgiving. it looks great with shorts and jeans! it's staple!"
Positive,I just bought this top yesterday in the yellow. i can't wait until it warms up a little more to wear it. it's very comfortable and very cute. i did have to size down. i may get one of the other prints as well.
Positive,I ordered the yellow/floral version in size xl. it fits me just as shown with the model so it's true to size. it's very comfortable and made well. the floral looks the same in person as in the photos too.
Positive,"Got the flower print and it is really a nice top. covers the butt!. i normally need a xl, but in this top i got a large."
Positive,"I received this in the mail a few days ago, and was so pleased with it except that it was huge! i am normally a 10/12 in most things so i ordered a large. i was swimming in it in all areas - shoulders and bust bothered me most because i need a waist on shirts so i don't look larger than i am. i liked it enough to o ahead and order a size down. i ordered a medium and medium petite because the top is quite long and i think i could get away with wearing it with leggings or tights if i were looking"
Positive,"I have received so many compliments on this top. it really looks exactly like it does on the model, and i'm not as thin as she is. i am 5'5"" and 134 lbs,, small on top, and bought the small in this top. the v-neck is very flattering and is hangs so nicely that it does not make me look hippy. looks great from all views. i paired it with white pencil pants and wedge heels. also, the black lace detail down the sides looked great when i paired it with black yoga pants and flip flops. the colors are"
Positive,"Everyone has said it, so i'll just add my two cents - this is a great, soft, flattering top. i bought two, one in white and one in black, and i have never worn them without getting compliments. i sometimes wear them buttoned up, and sometimes completely unbuttoned to expose tanks or bathing suits. (i live in florida, and these tops make great beach cover ups). i am 5'7"" and over 160 but not busty, and the medium was swimming on me, but i think this particular shirt is supposed to be that way. su"
Negative,"I wanted to love this top, but it unfortunately did not work for me. the material has a nice weight and feel to it, and while i love the pattern, the shape leaves something to be desired. the cap sleeves were a little tight on my arms, and the cut of the sleeves made my arms look big. the body of this shirt reminded me of a loose maternity top. for reference, i am 5'10"" 140 lbs and typically a size 6. i wear a small in retailer clothes, and got a small in this top. i think an xs would have been to"
Negative,"The fabric is wonderful, flows nicely and soft. i am 5'7"", 145lbs and usually wear between a s and m. i ordered a s in this due to the majority of reviews and found it to fit my shoulders well and length was fine. after reading the reviews i was so excited to get it but for me it actually made me look larger. there was too much material for me on the bottom and it actually made me look like i had a ""pooch"", never a good thing. i thought of returning for a m as i thought maybe it would have hung"
Positive,"I purchased this top in white. it is see through so i wear a tank or cami underneath. i usually wear xs or s in retailer tops and in this one, i purchased the xs, but wish i had bought a s. the problem is the top is just small enough to pull slightly between the top two buttons. for reference, i am 5'6, weigh 128 lbs, 34b bra size, 28 jean size, and small boned. i currently carry most of my weight in my hips and waist. my normal weight is 110-112 lbs and i add this to point out that i am out of sh"
Positive,I purchased this in 2 colors. the black which is really actually a dark grey( no complaints) and the cream with black print version. i have worn both at least once a week and receive compliments everytime! looks great with skinny pants or jeans. great alone or layered with a jacket or cardigan. does run on the looser side fyi
Positive,"Bought this top in white and blue motif. it fits me great and looks adorable. the only comment is that the holes for the buttons are a little too big but it's an easy fix.
this top looks great dressed up or down. would definitely recommend!"
Positive,"Just purchased this yesterday in the store and i can't wait to wear it! it is a perfect spring/summer top when you just want to wear something pretty and comfortable! i agree that it is big but that is the style of this shirt. so if you're ok with this look, you will love this shirt! i took my usual medium and the prints are adorable! a great addition to my wardrobe!"
Positive,Love this shirt. tried it on in 2 of the colors and both were very flattering. the quality of the shirt is great. worth the price for sure!
Positive,"Love this top! i receive so many compliments wearing it, even from my teenage boys! runs large, but that's the style of it, very flowy. very flattering."
Negative,"I loved this top in the blue and wanted so badly for it to fit however it was very unflattering on my 5'7"" frame. the bottom hemline is straight across all around whereas i thought it was longer in the back. i could see this looking great on a really petite frame. runs large, xs fit however wasn't flattering"
Negative,"Didn't work on this curvy gal.
sizing up would have helped with the button gaps, but the flowy shape of the blouse would have looked too maternity on a larger size.
major pass."
Positive,"I am so happy i purchased this top in 2 colors while it was on sale. i have the navy/white pattern and the green. both are vibrant and fun. i'm 8 months pregnant and these fit me currently. i can see them being a great top for post baby and on as well. i'll probably layer this in the fall and winter with a chambray jacket or a loose knit sweater. my only complaint (which is why i gave 4 stars) the top button comes undone very easily. it also pulls a bit at the top 2 buttons, but i may be able to"
Positive,"I'm so short that this could be a dress! runs a little big, but very forgiving. the green color is so vibrant! love love love!"
Positive,"This light blouse is beautiful and true to size. i ordered the black one and love it!
i would recommend this product"
Positive,"Stopped in to my local retailer today specifically for this top. i was pleasantly surprised - the green is even more vibrant in person! just gorgeous. typically a size small but based on reviews tried on the extra small. still a tad roomy but portland doesn't carry petite sizing aaaaandidon'twanttopayforshipping... remedy that, retailer portland!"
Negative,Wanted to like this top but it looks terrible and does not lay right. the bust line is not tight enough to contrast the rest of the top being flowy. does not give any shape to the body. do not recommend for anyone with a medium to large chest.
Positive,"Agree with other contributer - this is a great piece to snag on sale. i bought this 2 months post partum with the intention of hiding the post baby belly - which is does well! i think it fits true to size (i'm typically l and this l fit well). i can see how certain body types it would look maternity, but i'm short and curvy and the blouse is flattering. it's lightweight, so i plan to add a cardigan in the fall/winter."
Negative,"I read all the reviews and was hoping that this top would work for me, but it did not. i ordered a size smaller than usual and it was still way too big. it was not flattering at all on my curvy frame. overall, it looked more like a maternity top on me then anything else! if you're tall and slender, i think this top would work!"
Negative,"I'm still on the fence with this shirt. i have the grey - it almost looks like a cheetah design up close. i'm 5'3"""
Positive,"This is a cute top, especially the material design. i like tops that go over my bottom and this does. if i had a problem it is with the sizing. the fact that it was only online so i could not try it on made it difficult to know really what size to get. some reviews said it was true to size and others said go down a size. i did go down a size but it still hangs a little big. but i still love the overall look. i am also petite which is what i ordered."
Positive,"Nice, flowy, comfy top with soft fabric. there's a lot of fabric below the waist - it could probably work as a maternity top - but it drapes nicely rather than looking overwhelming. i do find that the buttons gap a little at the chest, despite the top fitting loosely on me, so i have to wear a layer under it."
Negative,"I bought two, one in white and one in blue print and wore the blue print top once and loved it. then i washed it according to the instructions on the tag (in cold gentle cycle and hung to dry). it shrunk up 4"" in the length and 2"" in the width and now it doesn't fit at all. also, after one wear, the buttons are coming off (before i even put it in the wash) and it's covered in loose threads. the quality is just not there. i'm going to return both and show the sales lady the difference in size on"
Positive,"This is a such a cute top. can be dressed up for work or worn more casually. very flattering. i'm 5'6"" and 125lb. i was borderline between the xs and s but ended up with the s because it was a tad longer and more 'tunic-y.' bought two colors!"
Negative,"I wanted to love this, was so excited when i ordered it online. the fabric (blue and white) was beautiful, but the cut was bad. it fit me like a maternity top, and made me look like i was 6 months along. i have a feeling that the models had theirs pinned back, in the back, because it does not lay flat like that in front, it has a lot of fabric with no place to go but up and out. returning."
Positive,"The green is a deep, beautiful shade. the fabric and fir is very flattering!"
Positive,
Negative,"I really like the look of the top when it is photographed on other people but it just isn't for me. the fabric is stiffer than i would have expected and not very moveable. the fit is not quite right on me. the longer sleeves detract from the look of the shirt. i also generally prefer things a little more form fitting of which this is not. it was not very comfortable for me either, so this was clearly not a win for me."
Positive,"This top is absolutely adorable, fits small on top and then flares out a bit as shown. i bought it months ago and haven't worn it yet though. might try it with white jeans as shown."
Negative,"Bought this top at my local store and tried it on as soon as i got home. yikes! it was way too billowy, i looked like i was pregnant. will be trying the next size down on in the store to see if it is billowy."
Positive,"Gorgeous baby blue lace is a must see. i received many compliments. my only gripe is that i don't love when shirts have those connecting camisoles (which make it harder to put on) as i would much rather just have a sewn in lining, but it didn't deter me. i am 5'5"", 135lbs, 34c, muscular/curvy frame and a size 4 fit perfectly."
Positive,"Great top!! love the fit, it pairs great with dark denim and pearls!! i ordered a 00 and am a 32c cup and 24-25 waist"
Positive,This top/jacket is less red than it appears in the pictures - more of a wine color (as it is labeled) but it is pretty and the gold details are nice.
Positive,I am obsessed with this top. it is even more gorgeous in person.... a real showstopper!
Positive,Beautiful color and a great lightweight piece for fall layering. the petite sizing was perfect for me. more like a belted kimono. very happy with this purchase
Negative,It's really cute but seems expensive for the type of fabric. i thought it would be more substantial. got lots of compliments .
Positive,"In the midst of the end-of-winter doldrums, i tried this cute top on. springy. powdery. happy. the lace is soft, not too stiff or scratchy, and lightweight enough to transition nicely into summer. because the cami is a separate piece, i also envision wearing this as a top over a slip-dress with some retro mary janes. the sleeve length makes it fair game for late winter, too. yay!"
Positive,"Absolutely love this top. it is beautiful, well made and so unique."
Negative,"An absolutely gorgeous, but poorly fitting blouse. the bottom part is way too billowy and inconsistent with the fitted top half. got it on sale and still returned it."
Positive,"This top is really pretty and i received a lot of compliments on it. i said it ran true to size, but really the torso part runs a little big. if i had sized down, i think it would have been too tight in the arms. the cami that came with it kept falling out, which is no big deal, but be aware that the strings might not hold the cami with the shirt. overall, it's a really pretty blue and the details make it worth it."
Positive,The blue lace with the white top underneath is very pretty. unfortunately i did not like how billowy it was below the bra line.
Negative,It is definitely pinned back on the model in the photograph. it made my 5 foot frame look short and wide.
Positive,"I knew i wanted this top the moment i saw it, so onto my wishlist it went until it went on sale! it fits beautifully in my normal size and i love that it already has a coordinating tank top. i get compliments whenever i wear it- think hd in paris might be my new go-to!"
Positive,"Yep. this is snug, so maybe you might consider upping your normal size. but here's the annoying thing for me...the buttons fell off. not kidding. the first i wore this blouse and two buttons came off. when i looked at the other ones i saw that they all needed to be resewn to keep them attached. what a bother. but i'm doing it because the cotton poplin is nice and the little ruffle is a nice touch that i really like . where am i going to find another? so i'll fix it up the way it should have been"
Positive,I initially tried this on in store and fell in love with the beautiful cut out details and fit. the star design is really cute and unique and the blue color is not see-through at all. i eventually had to buy the blouse online because i could not stop thinking about it. also machine washable is a major plus.
Negative,I ordered this blouse online bc i couldn't find it in my local stores once it was on sale. the fabric is so delicate. the cutouts had already frayed and in some places torn. had to return it.
Negative,Very disappointed. the cutouts started to rip the first time i wore it. i've only worn it twice and i love it but the cut outs are embarrassing.
Negative,"This is a very pretty shirt which is too narrow across the back. i need to be able to move my arms freely at work, so this did not work for me. you may be able to size up for a better fit if moving your arms is important to you."
Positive,"Beautiful and very feminine look but run big. i m 5ft 105 lbs curvy , size 00 fit me well"
Negative,Cute top but started disintegrating after two washes. the delicate cutouts in the top tore apart. i machine washed it in the gentle cycle and didn't use the dryer. disappointed to have to discard the top after just buying it.
Negative,"I received this as a gift. it is a very pretty top, but the material is sooo delicate that the cutout areas were torn in many spots and where it wasn't torn completely you could see it fraying. the sales associate said they get many returns on this item."
Positive,"I tried this on today and i wish i had taken it home. for me it was true to size, and the star print was perfect. flowy but not in maternity way at all. i'm gonna have to go back for this one!"
Positive,"I bought this top at my local retailer in a burgundy color. it is so beautiful and feminine. i want to get it in the other color they had in the store and also this black one available on-line. i bought it in a size 6 and i am 5' 2"" , 34d. i sometimes get tops in petite but i felt the reg size fit just fine."
Negative,"This top runs small across the top. i was amazed at the material--polyester, i am sure--because the price was so high. it has a sheer layer underneath, which i think would make it hot in the summer. i love this kind of tank but it just did not look as good as it does online."
Positive,"I bought this tank in the blue popsicle print, and i think it's cuter in person than it is online. the beautiful pastel colors on the popsicles really stand out and make it special. i am normally a size 4-6, and the small fits me perfectly. also, i appreciate that it's lined. i wore it with skinnies, and received lots of compliments. it's the perfect tank for summer!"
Negative,The price is high and i have to dry clean this? no thanks.
Negative,"I love the cut and aesthetic of this shirt, but the fabric unfortunately shows even the slightest hint of sweat, which makes it difficult to wear without being self conscious"
Negative,"This is a nice shirt, but i can't keep it. i ordered a 0 and i do have an athletic build with somewhat wider shoulders given how petite i am (usually wear 00 petite in all pants) and i think this size was perfect (fit across the back perfectly) when you lift your arms the way it is cut makes it really tight across the chest and shows your stomach. at the same time, the high low styling makes for a really strange shirt-tail in the back. i'm sure this is the trend but it really does not look cute"
Positive,"This shirt feels so nice, it's heavier weight and so soft.. i think it's lyocel... such a great drape to the shirt that is so flattering. i am 5'8'' 128lbs and 34c/d and purchased a size 4. found this item to be true to size, if not slightly loose, but i love the flow of it. highly recommend, the green is classic and timeless, very versatile."
Positive,"Love it! the light blue is a gorgeous color. i thought this might be more chambray, but i'm happy it's not. it's also stitched at the top so no awkward accidental peep show or need for annoying tape."
Positive,"Love this top! i bought it last month in the olive green color and love it. great quality fabric, comfortable and can be dressed up or down."
Negative,"I was so excited to receive this top but was immediately disappointed! it is much thinner than it seems & it almost feels like a cheap top. it's also see-through but i'm not bothered by that. it has a very boxy cut which i like with slimmer bottoms. but overall, i didn't care for this top & expected it to be more structured & stiff rather than flimsy & thin. it's going back..."
Positive,"I love this top, i dress it up when i need to be more professional and i dress it down with a pair of cutoffs when it's warm. it is delicate, however, so i try not to wash it too frequently. the front is a bit boxy, which the model demonstrates. the model really encompasses the crisp whiteness of the shirt, the flow of it and the length."
Negative,"This was going to be my go to top. i loved the look of the billowy shirt, especially in light blue. when it arrived, i knew it wouldn't work for my body. i'm athletic build with muscular upper arms and a d cup. i tried it on anyway. i really wish it fit. it was snug in the upper arms and pulled a bit in the front. i knew if i ordered a size up the arms would still be tight. it's just the cut of the shirt. this top is best for someone that isn't busty and has slender upper arms."
Positive,"I got tons of compliments when i wore this top out a couple weeks ago. it is a little bit shorter than i thought, and a little bit loose (not ""baggy"" but just kind of hangs). if you have a larger chest, this may not be super-flattering. the color is really pretty and looked great with dark skinnies. i bought my normal size (after trying on a size down, which was just too short...and i'm 5'2)"
Positive,I loved the color and the style of the sleeves.  it was a bit too short on me and i thought it made me look boxy so i didn't end up keeping it
Positive,Love this top for the fall. looks great with dark skinny jean and booties.
Positive,This is a very well made top. i love everything about this top! bought it in both colors. i think it's fancy enough to wear out at night or in the daytime with shorts and flip flops. i got it on sale but would have totally paid regular price for it!
Positive,"I stumbled upon this by accident and i thought the turquoise color looks unique so i tried it on, and it was a great fit first time around. i dislike open shoulder blouses because most of them are too open but this one is very sutble which gives it a girl next door sexy look. the material is very soft, the pattern is subtle plaid, and the liner is a plus. size 2 regular fits me very comfortably (i'm 5'2"", 34b, 26 waist, 36 hips). i could size down more but i like the relaxed look like on the mod"
Positive,"I love this shirt! i was surprised by the other reviews. it's boxy, but not unflattering. i get so many compliments on this. a steal for the price."
Positive,"I love this blouse! the colors of the little sunglasses are vibrant against the black background, the buttons on the front are also a coral/peach color and beautifully made. its thin enough to be worn in the summer or fall without making you sweat or freeze. i ordered a medium, which i usually wear in most retailer tops and it fits perfectly. i'm a 36b and can run from an 8 to a 10 in tops. i do recommend trying it on before purchasing if you can, especially for women with a larger bust. th"
Positive,"This top can be dressed up or down, very good quality fabric and colors shown as the photo (blue). i usually wear petite sizes but chose the regular version because i wanted to be able to tuck it in. i think it might be too short otherwise."
Positive,"Love, love this clever eyeglass print. i bought the black background with bright sunglass print - perfect for pairing with jeans, shorts or a slender skirt."
Positive,"I bought this blouse on sale in a medium because it was the last one left in the store. i usually wear a large, but surprisingly it fit. i'm a woman of color, and the off white and lace looks great with my complexion. i got many compliments on the blouse as i made my way to the register to check out. i can't wait to wear it this spring. i'll have to be careful when wearing this blouse because one good snag with a fingernail, or necklace and the lace will be torn. other than that, i'm very happy"
Positive,"These two blouses are probably my best purchases anywhere in some time. fit is perfect, quality is great and both will be worn many times this summer and into the fall. unique from the all other tops i have seen lately."
Positive,"This shirt is exactly what i expected! it is just as cute as on the website and the fit was great! it's the perfect shirt for summer, loose fitting but in a flattering way. the design makes it very versatile since it can be matched with so many colors!

i highly recommend it!"
Positive,"I saw the black in store and had to try on. it is very, very cute. i would say it fits a bit small. i tried my usual medium and while it fit, it was a little short. id take you could take your regular size or size up. i would not size down in this one. adding to my wish list and hoping it sticks around til sale time!"
Positive,Love this top. very easy to wear to lunch or site seeing. the fabric is soft and drapes nicely.
Positive,"I wanted this top ever since i saw it online, it is so me. it's a nice mix of feminine and masculine, you can pair it with a nice pair of jeans or even business pants to dress it up. this will make the perfect summer shirt and it hangs so nicely! i highly recommend this shirt, i would get it before its gone!"
Positive,"If you care that it's sheer- be forewarned. i probably won't wear a cami under it, as it's not terrible, but worth noting. that said, its lightweight fabric will be perfect for summer and its design is gorgeous boho at its best. it's cut quite generously and i do wish i'd gone down a size."
Positive,"Being somewhat on the 'fluffy' side, the style is very flattering and forgiving and will be ideal for summer. i am between a size 14 and a 16 and the 14 fits perfectly. light and airy a very nice, simple embroidery in contrasting color. very chic in an effortless way. the armholes are just right--not too big! the color is definitely a creamy ivory. worth the cost because i don't think it will be available for too long."
Positive,"Received this shirt yesterday and loved it. doesn't look that great online in pics, but it is a unique and beautiful top. the material is a substantial woven cotton so it lays nicely and keeps its shape . i am 5'5 and 128lbs and a small bust size 34a , i usually wear small in shirts but since it is a longer length i didn't want it to tight around my butt.... i am curvy in that area size 6 pants....i ordered the medium and i am so glad i did .. it lifts just like on the model...the only downfall"
Negative,"I am usually a size 2 in tops. i am very, very rarely a size 0, so upon reading other reviews of this top i decided to order the 2 and assumed it would fit the way a 2 usually does. obviously this is designed to be a loose, flowing top. that's why i wanted to order it. however, the 2 is simply too loose in every direction. my primary gripe is that the arm holes are gaping and falling at the side in a way i don't think it intended.

i do really like the styling and quality, so i am planning on"
Positive,I bought this today in a size 2. fits perfect. i am normally a 0 or 2 or xs. the top looks and fits exactly like the picture if you are small chested. because it is not long in the front. i think if you are larger chested the top will stick out too much and be too short in front. it is not super voluminous in front which is a good thing. it does have the volume in the back which gives it a cute shape. it is on the shorter side. very nice material and design as well as details. overall good pick.
Positive,This is one of my favorite tops i've ordered. flowing and relaxed with great details at the neck. i get compliments every time i wear it.
Negative,"The beadwork is gorgeous, but the sleeves are so puffy, it looks as though you're wearing shoulder pads. the fabric of the shirt isn't that fabulous either."
Positive,"I really wanted to not like the top for that price, but ti looks really good, the beading makes the shirt stunning... i ordered the 0p, not sure what size to get, and it is just fine. the length is almost too short, but isn't. the rest of the shirt fits nicely. the shoulder are wide, like poofing out a bit, perhaps that is hwy some people thought it looked large? the beading work is beautiful also a little sheer, but not crazy. debating whether to keep it but right now i love it. also, teh colla"
Positive,"This shirt is so great. it's beautiful and functional. i received countless compliments the first time i wore it. i'm looking forward to wearing it again! worth the steep price, though it was hard to justify."
Positive,"Very pretty blouse. it does run quite large, i am usually an xs-s or 0-4 and purchased the 0. i could probably have gone to a 00. for reference i am 5'4"" 118 lbs 34b/c. it says that it is dry clean only, however i washed in in delicate cycle with cold water and threw in the dryer for a little bit. it came out perfect! i was hoping to shrink it and it only shrunk a tiny bit. i was hoping for it to shrink more but it is fine. no need to even iron it! i was lucky enough to get it on sale, i don't t"
Negative,This is a beautiful beaded shirt. the quality seems good. i just didn't like the shoulders. they are pleated and puffy. the picture doesn't really show them very well. also the collar is a little floppy. i was hoping it would have an option to stand up but that is not the case. the beading is well done and looks to be stable. i just thought it ran a little large and the shoulders looked puffy. i returned it.
Positive,"I was pleasantly surprised with the fit of this top! at 5' 6"", i'm rather busty, short waisted, and full-figured. i ordered my usual size 16, and the fit is a flattering, 'almost' empire silhouette. i was worried about the back being too long for my body shape, but it works great. the embroidery and construction make this a really special piece."
Negative,"I've been adoring this online and while in store i happened upon this blouse and tried it on. the material was sturdy and the beading oh-so lovely, but on my frame it looked terrible. (i normally wear size m/10 in retailer clothes). as another reviewer mentioned, this blouse has rather puffy sleeves which aren't evident in the photo of the model. as well, i also didn't love the collar, which doesn't quite lay flat. if i were to buy this i would have to wait for it to go on sale and then get the po"
Negative,"Extremely disappointed with this top. it runs extremely large. i'm 5'2, 130 lbs, 34c and usually wear between a 0-2 & xs-s tops at retailer. i ordered a 0 and it looked like a maternity top on me. the bottom half of the top flared out and did not fit close to the body at all. fabric was also a gauze-like material that was not soft. unfortunately, i will be returning."
Negative,"Tried this lovely with high waste, wide leg, black flowy pants. everything i could hope for and more, but not quite!

size: blindly ordered size 6. i'm usually a small, occasionally xs in retailer brands like floreat and akemi+kin. i'm 5'5"" tall, 130 lbs, 34d, 35-29-37, long torso, narrow shoulders, and short arms.

fit: size 6 had just enough space through the bust. the lace edged sleeves were roomy and just reached my wrists. the shoulders were just right. extra fabric ballooned out around t"
Positive,"I was glad that i was able to get this shirt which is really more of a spring/summer item, but i found it wide in the body and the shoulders."
Positive,"When i first pulled this shirt from the box i thought it was a for sure winner. the beading was stunning, it was just so elegant and the details are perfection. ""till i tried it on and had some reservations. the sleeves (at the top) were very poofy and just would not lay in a flattering way unless they were rolled above my elbow to tighten them. and as a taller gal, i wish it were a tad longer (in the model shot, looks a bit short from the back view). i fear tucking it would loosen the bead work"
Positive,"This is a really great top. it looks fantastic on. while it is a bigger fit, its so flattering. i get tons of compliments every time i wear it."
Positive,"I ordered this shirt last week, it's beautiful!!!!! it's even prettier than the photo. i'm 5.3 120lbs ,i ordered the petite 6 and it fit perfectly!!!! i wish it came in more colors, i'd order another one in a minute!"
Negative,"I expected the waist to be cinched like it appears on the model but it isn't. i ordered the xs and i'm swimming in it (i'm 5'4"" and 120 lb). would suggest ordering a few sizes down to avoid looking like you're wrapped in grandma's table runner."
Positive,"The color of this top is a bit more vibrant than online. material is light, but i can wear a beige bra underneath and not need a cami. fit was true to size for me and detail at the neckline is flattering. a keeper for me!"
Negative,"Note to photographers: please don't cinch the wait of a blouse to make something look tailored when it isn't. this could have been a real win if it had been more simply executed. i'm petite, way too much fabric. returned."
Positive,"Lovely embroidery with a classic look, great addition to your wardrobe."
